4515 12/02/2021 06:41:16 AM INFO : Welcome to the camera simulator
4515 12/02/2021 06:42:27 AM INFO : Turning-on WebCamera
4515 12/02/2021 06:42:34 AM INFO : Connected to the server
4515 12/02/2021 06:42:34 AM INFO : Frame Sent
4515 12/02/2021 06:42:34 AM INFO : Frame Sent
4515 12/02/2021 06:42:34 AM INFO : Frame Sent
4515 12/02/2021 06:42:34 AM INFO : Frame Sent
4515 12/02/2021 06:42:35 AM INFO : Frame Sent
4515 12/02/2021 06:42:35 AM INFO : Frame Sent
4515 12/02/2021 06:42:35 AM INFO : Frame Sent
4515 12/02/2021 06:42:35 AM INFO : Frame Sent
4515 12/02/2021 06:42:35 AM INFO : Frame Sent
4515 12/02/2021 06:42:35 AM INFO : Frame Sent
4515 12/02/2021 06:42:35 AM INFO : Frame Sent
4515 12/02/2021 06:42:35 AM INFO : Frame Sent
4515 12/02/2021 06:42:35 AM INFO : Frame Sent
4515 12/02/2021 06:42:36 AM INFO : Frame Sent
4515 12/02/2021 06:42:36 AM INFO : Frame Sent
4515 12/02/2021 06:42:36 AM INFO : Frame Sent
4515 12/02/2021 06:42:36 AM INFO : Frame Sent
4515 12/02/2021 06:42:36 AM INFO : Frame Sent
4515 12/02/2021 06:42:36 AM INFO : Frame Sent
4515 12/02/2021 06:42:36 AM INFO : Frame Sent
4515 12/02/2021 06:42:36 AM INFO : Frame Sent
4515 12/02/2021 06:42:36 AM INFO : Frame Sent
4515 12/02/2021 06:42:37 AM INFO : Frame Sent
4515 12/02/2021 06:42:37 AM INFO : Frame Sent
4515 12/02/2021 06:42:37 AM INFO : Frame Sent
4515 12/02/2021 06:42:37 AM INFO : Frame Sent
4515 12/02/2021 06:42:37 AM INFO : Frame Sent
4515 12/02/2021 06:42:37 AM INFO : Frame Sent
4515 12/02/2021 06:42:37 AM INFO : Frame Sent
4515 12/02/2021 06:42:37 AM INFO : Frame Sent
4515 12/02/2021 06:42:37 AM INFO : Frame Sent
4515 12/02/2021 06:42:37 AM INFO : Frame Sent
4515 12/02/2021 06:42:38 AM INFO : Frame Sent
4515 12/02/2021 06:42:38 AM INFO : Frame Sent
4515 12/02/2021 06:42:38 AM INFO : Frame Sent
4515 12/02/2021 06:42:38 AM INFO : Frame Sent
4515 12/02/2021 06:42:38 AM INFO : Frame Sent
4515 12/02/2021 06:42:38 AM INFO : Frame Sent
4515 12/02/2021 06:42:38 AM INFO : Frame Sent
4515 12/02/2021 06:42:38 AM INFO : Frame Sent
4515 12/02/2021 06:42:38 AM INFO : Frame Sent
4515 12/02/2021 06:42:39 AM INFO : Frame Sent
4515 12/02/2021 06:42:39 AM INFO : Frame Sent
4515 12/02/2021 06:42:39 AM INFO : Frame Sent
4515 12/02/2021 06:42:39 AM INFO : Frame Sent
4515 12/02/2021 06:42:39 AM INFO : Frame Sent
4515 12/02/2021 06:42:39 AM INFO : Frame Sent
4515 12/02/2021 06:42:39 AM INFO : Frame Sent
